trajectory,system,waypoint,distance_along_m,time_s,cond_median,cond_median_db,erank_median,capacity_10db
Half-Circular,Without Lens,5,3.925745,3.925745,23.469307,27.410005,1.233727,6.191623
Half-Circular,Without Lens,6,4.710894,4.710894,23.056968,27.256044,1.18714,5.993153
Half-Circular,Without Lens,7,5.496043,5.496043,15.97061,24.06643,1.30004,6.515741
Half-Circular,Without Lens,8,6.281192,6.281192,14.831739,23.423842,1.323452,6.62516
Half-Circular,Without Lens,9,7.066341,7.066341,13.328002,22.495301,1.362653,6.787146
Half-Circular,Without Lens,10,7.85149,7.85149,9.815599,19.838336,1.410707,6.990079
Half-Circular,Without Lens,11,8.636639,8.636639,10.973208,20.806672,1.379284,6.885672
Half-Circular,Without Lens,12,9.421788,9.421788,11.169448,20.960634,1.347789,6.782984
Half-Circular,Without Lens,13,10.206937,10.206937,13.220901,22.425221,1.353665,6.779017
Half-Circular,Without Lens,14,10.992086,10.992086,20.056484,26.045096,1.366623,6.753094
Half-Circular,Without Lens,15,11.777235,11.777235,18.359641,25.277284,1.402737,6.840358
Half-Circular,Without Lens,16,12.562384,12.562384,18.991119,25.571011,1.37513,6.7429
Half-Circular,Without Lens,17,13.347533,13.347533,19.130295,25.634433,1.357017,6.710885
Half-Circular,Without Lens,18,14.132682,14.132682,14.243609,23.072401,1.403255,6.790311
Half-Circular,Without Lens,19,14.91783,14.91783,19.220116,25.67512,1.356869,6.709383
Half-Circular,Without Lens,20,15.702979,15.702979,19.007271,25.578396,1.375287,6.741193
Half-Circular,Without Lens,21,16.488128,16.488128,18.360966,25.27791,1.403236,6.83991
Half-Circular,Without Lens,22,17.273277,17.273277,20.100174,26.063996,1.366326,6.754633
Half-Circular,Without Lens,23,18.058426,18.058426,13.121845,22.359898,1.354679,6.783318
Half-Circular,Without Lens,24,18.843575,18.843575,11.119681,20.921847,1.349133,6.783922
Half-Circular,Without Lens,25,19.628724,19.628724,10.968291,20.802779,1.380706,6.886039
Half-Circular,Without Lens,26,20.413873,20.413873,9.875756,19.891407,1.410729,6.986665
Half-Circular,Without Lens,27,21.199022,21.199022,13.354035,22.51225,1.361975,6.78278
Half-Circular,Without Lens,28,21.984171,21.984171,15.067274,23.560693,1.320755,6.616063
Half-Circular,Without Lens,29,22.76932,22.76932,16.102251,24.137732,1.298239,6.507969
Half-Circular,Without Lens,30,23.554469,23.554469,23.427369,27.39447,1.183514,5.981641
Half-Circular,Without Lens,31,24.339618,24.339618,23.733324,27.507172,1.231086,6.178855
Half-Circular,Without Lens,32,25.124767,25.124767,27.508388,28.789303,1.158433,5.836065
Half-Circular,Without Lens,33,25.909916,25.909916,24.920512,27.931139,1.146433,5.760124
Half-Circular,Without Lens,34,26.695065,26.695065,24.46229,27.769942,1.164944,5.802736
Half-Circular,Without Lens,35,27.480214,27.480214,22.723681,27.129574,1.169506,5.797939
Half-Circular,Without Lens,36,28.265363,28.265363,33.07292,30.389451,1.096963,5.51363
Linear,Lens,0,0.0,0.0,20.335369,26.165041,1.146537,5.817079
Linear,Lens,1,0.95,0.95,18.135687,25.17068,1.154247,5.85107
Linear,Lens,2,1.9,1.9,18.952791,25.553464,1.138245,5.791528
Linear,Lens,3,2.85,2.85,23.825179,27.540723,1.09936,5.572157
Linear,Lens,4,3.8,3.8,19.882252,25.969312,1.166768,5.940128
Linear,Lens,5,4.75,4.75,15.030643,23.539551,1.196927,6.081574
Linear,Lens,6,5.7,5.7,8.446295,18.533325,1.52728,7.334543
Linear,Lens,7,6.65,6.65,9.080106,19.161818,1.521463,7.243171
Linear,Lens,8,7.6,7.6,21.023863,26.45425,1.14024,5.808178
Linear,Lens,9,8.55,8.55,32.468203,30.229165,1.058693,5.311655
Linear,Lens,10,9.5,9.5,568.274407,55.091162,1.035208,5.185287
Linear,Lens,11,10.45,10.45,32.4076,30.212937,1.060337,5.316782
Linear,Lens,12,11.4,11.4,20.365191,26.17777,1.146577,5.843452
Linear,Lens,13,12.35,12.35,8.728551,18.818843,1.525425,7.282221
Linear,Lens,14,13.3,13.3,8.663056,18.753422,1.499884,7.266891
Linear,Lens,15,14.25,14.25,15.594814,23.859604,1.180309,6.007263
Linear,Lens,16,15.2,15.2,21.151975,26.507019,1.162483,5.915629
Linear,Lens,17,16.15,16.15,23.304601,27.348833,1.10221,5.590472
Linear,Lens,18,17.1,17.1,18.68809,25.431299,1.145333,5.834079
Linear,Lens,19,18.05,18.05,17.362645,24.792318,1.166846,5.913342
Linear,Lens,20,19.0,19.0,18.901272,25.529821,1.159663,5.888336
Half-Circular,Lens,0,0.0,0.0,11.965579,21.558675,1.305197,6.58399
Half-Circular,Lens,1,0.785149,0.785149,10.886528,20.737788,1.43041,6.9146
Half-Circular,Lens,2,1.570298,1.570298,11.271153,21.039367,1.335903,6.657795
Half-Circular,Lens,3,2.355447,2.355447,11.165369,20.957461,1.279154,6.447872
Half-Circular,Lens,4,3.140596,3.140596,10.315705,20.269979,1.405221,6.787246
Half-Circular,Lens,5,3.925745,3.925745,8.813251,18.902723,1.605652,7.420891
Half-Circular,Lens,6,4.710894,4.710894,7.121739,17.051721,1.614692,7.503375
Half-Circular,Lens,7,5.496043,5.496043,12.759168,22.116447,1.342439,6.699599
Half-Circular,Lens,8,6.281192,6.281192,12.928554,22.230999,1.265672,6.387882
Half-Circular,Lens,9,7.066341,7.066341,16.367755,24.279783,1.18567,6.033451
Half-Circular,Lens,10,7.85149,7.85149,17.40623,24.814094,1.160299,5.9023
Half-Circular,Lens,11,8.636639,8.636639,20.014361,26.026834,1.14542,5.822518
Half-Circular,Lens,12,9.421788,9.421788,16.924871,24.570507,1.196973,6.082294
Half-Circular,Lens,13,10.206937,10.206937,10.958755,20.795224,1.343982,6.720407
Half-Circular,Lens,14,10.992086,10.992086,6.35762,16.065891,1.802955,7.94802
Half-Circular,Lens,15,11.777235,11.777235,10.278314,20.238438,1.411077,6.943594
Half-Circular,Lens,16,12.562384,12.562384,16.36887,24.280374,1.161413,5.943505
Half-Circular,Lens,17,13.347533,13.347533,19.992235,26.017227,1.11254,5.655634
Half-Circular,Lens,18,14.132682,14.132682,16.323591,24.256314,1.100589,5.58318
Half-Circular,Lens,19,14.91783,14.91783,20.65201,26.299246,1.109615,5.639538
Half-Circular,Lens,20,15.702979,15.702979,16.468395,24.333025,1.16505,5.980604
Half-Circular,Lens,21,16.488128,16.488128,9.936831,19.944958,1.425672,6.98838
Half-Circular,Lens,22,17.273277,17.273277,6.452295,16.194284,1.806651,7.961488
Half-Circular,Lens,23,18.058426,18.058426,11.584622,21.277637,1.327861,6.650934
Half-Circular,Lens,24,18.843575,18.843575,17.75082,24.984369,1.183207,6.025586
Half-Circular,Lens,25,19.628724,19.628724,19.840837,25.9512,1.149294,5.83548
Half-Circular,Lens,26,20.413873,20.413873,16.468948,24.333317,1.165787,5.938903
Half-Circular,Lens,27,21.199022,21.199022,16.52129,24.360879,1.200022,6.092045
Half-Circular,Lens,28,21.984171,21.984171,13.066017,22.322864,1.271891,6.414929
Half-Circular,Lens,29,22.76932,22.76932,13.102113,22.346827,1.321126,6.618561
Half-Circular,Lens,30,23.554469,23.554469,7.273266,17.23459,1.605115,7.45524
Half-Circular,Lens,31,24.339618,24.339618,8.281245,18.361912,1.65888,7.536486
Half-Circular,Lens,32,25.124767,25.124767,10.108982,20.094148,1.417228,6.837412
Half-Circular,Lens,33,25.909916,25.909916,10.551138,20.465986,1.290135,6.493421
Half-Circular,Lens,34,26.695065,26.695065,11.353772,21.102803,1.319706,6.611865
Half-Circular,Lens,35,27.480214,27.480214,11.356868,21.105172,1.405459,6.839226
Half-Circular,Lens,36,28.265363,28.265363,12.551496,21.97391,1.27579,6.467066
